AgencyID,SiteID,ServiceID,Category,Name,Address 1,City,State,ZIP Code,Contact 1 Phone,Program Contact 2,Web Site,Service Group Name,Program Name,PROGRAM DESCRIPTION,BUILDING HOURS,PROGRAM HOURS,INTAKE PROCEDURE,ELIGIBILITY,Gender,Ages,Parsed Program Hours,Notes Program Hours
UWDC63213,1,70731,Community,MADISON SENIOR CENTER,330 W Mifflin St,Madison,WI,53703,(608) 267-8652,(608) 266-6581  Laura Hunt,www.MadisonSeniorCenter.org,SENIOR CENTERS,,"Madison Senior Center provides programs, activities and educational opportunities for adults, 55+.  It sponsors health screenings (podiatry foot & blood pressure clinic), support groups and classes.  The Senior Center has a partnership with Madison College, MSCR and PLATO to provide educational programming.  Contact Senior Center for current schedule and fees. Scholarships available.  The Madison Senior Center also offers a congregate dining site, sponsored by South Madison Coalition of the Elderly (see their agency for further meal details). Intergenerational volunteer opportunities available for on-going programs including craft classes and mentoring programs.",Monday-Friday 8:30am-4:00pm; some evenings and weekend hours,Monday - Friday 8:30am - 4:00pm,"Call Senior Center for availability. Some events require reservations.For intergenerational programs the Volunteer Coordinator, 608-266-6581","Older Adults ages 55 years and over and their families living in Madison",Everyone,Seniors,Monday - Friday 8:30am - 4:00pm,
UWDC63213,1,89422,Food,MADISON SENIOR CENTER,330 W Mifflin St,Madison,WI,53703,(608) 267-8652,(608) 266-6416  Nancy Thompson,www.MadisonSeniorCenter.org,NUTRITION SITE,South Madison Coalition of the Elderly Nutrition Site at the Madison Senior Center,Offers healthy lunch meals to seniors. Vegetarian options are available.,Monday-Friday 8:30am-4:00pm; some evenings and weekend hours,Serving 11:30am Monday- Friday,Reservations are required one day in advance.,,Everyone,Seniors,Monday- Friday 11:30am - 1:30pm,Serving 11:30am Monday- Friday
UWDC63215,5,70739,Community,YMCA OF DANE COUNTY,1470 Don Simon Drive,Sun Prairie,WI,53590,,,www.ymcadanecounty.org,YOUTH CENTERS,,"Provides a safe, supervised place where middle-school aged youth can come to spend time with friends, participate in recreational activities, get help with homework, and play games. The youth center operates on a drop-in basis, at no cost to participants, and is open five days a week as well as during school holidays and summers. Youth at the center have access to social and educational activities including arts, crafts, sports, music, games and special events such as dances and community service days.",Monday-Friday 5:15am-10:30pm; Saturday 6:00am-7:00pm; Sunday 9:00am-7:00pm,Monday-Friday 3:00pm-6:00pm,Walk-in,Middle school students,Everyone,Youth,Monday-Friday 3:00pm-6:00pm,
UWDC63215,9,70736,Community,YMCA OF DANE COUNTY,711 Cottage Grove Rd,Madison,WI,53716,(608) 221-1571,(608) 221-1571,www.ymcadanecounty.org,ADAPTED SPORTS/GAMES,Adaptive Sports and Programming,Provides adaptive athletic and enrichment programs for people with disabilities.,Monday-Friday 5:15am-10:30pm; Saturday 6:00am-7:00pm; Sunday 9:00am-7:00pm,Monday-Friday 5:15am-10:30pm: Saturday 6:00am-7:00pm: Sunday 9:00am-7:00pm,Call for the current program guide,People with disabilities,Everyone,Everyone,Monday-Friday 5:15am-10:30pm; Saturday 6:00am-7:00pm; Sunday 9:00am-7:00pm,
UWDC63241,1,70748,Medical,DEAN FOUNDATION,2711 Allen Blvd Ste 300,Middleton,WI,53562,(608) 827-2314,(608) 827-2308  Kathy Williams (Clinic Coordinator),www.deancare.com/Foundation/,COMMUNITY CLINICS,Benevolent Specialists Project Free Clinic,"Offers free consultations by 41 volunteer doctors in 20 specialties to uninsured, low-income patients who have been referred by a primary care physician. Service is for people with chronic conditions and cannot be used for emergency or walk-in care. MUST have a referral from a doctor.",Monday-Friday 8:00am-4:30pm,Wednesday-Thursday 1:00pm-6:00pm,Call in advance to set up an appointment,"Potential patients must have a referral from a doctor, meet income level requirements and be uninsured and not covered by any other program",Everyone,Everyone,Wednesday-Thursday 1:00pm-6:00pm,
UWDC63259,1,70759,Community,BAYVIEW FOUNDATION,601 Bayview,Madison,WI,53715,(608) 256-7808,,www.bayviewfoundation.org,CHILDREN'S PLAY GROUPS,Madison Metropolitan School District's Play and Learn Program,"The Madison Metropolitan School District Play and Learn Program mission is to provide a quality environment where parents and caregivers can develop and strengthen skills to enhance their childês learning and growth in literacy, math, and social skills.",Monday-Friday 9:00am-6:00pm,Mondays 9:30am-12:00pm,There is an application and enrollment process. Families can obtain the necessary forms by contacting the Play and Learn Program. There is limited space available: families can put their name on a waiting list. Please see the Madison Metropolitan School Districtês Play and Learn Website for more information: https:--earlyed.madison.k12.wi.us-play-and-learn,"Children ages birth to 3+ and their caregivers, who reside in the Madison School District",Everyone,Youth,Monday 9:30am-12:00pm,
UWDC63276,1,70768,Food,VILLAGE OF BELLEVILLE,24 W Main St,Belleville,WI,53508,(608) 424-3341,(608) 424-3341 (Main),www.bellevillewi.org,FOOD PANTRIES,Belleville Food Pantry,"Food pantry. Can use once per week. ID and proof of address required for every household member. No delivery.PANTRY INVENTORY:Always: milk (by voucher), formulaSometimes: meat, fresh food, diapers, cleaning products, personal hygiene products, laundry soapNever: pet foodSERVICE TYPE: complete client choice",Monday-Friday 8:00am-5:00pm,"Closed for elections and major holidays.Tuesday 8:00am-12:00pm, Thursday 1:00pm-4:00pm",Walk-in,Belleville School District residents in need of food.,Everyone,Everyone,Tuesday 8:00am-12:00pm; Thursday 1:00pm-4:00pm,"Closed for elections and major holidays.Tuesday 8:00am-12:00pm, Thursday 1:00pm-4:00pm"
UWDC63282,7,96244,Community,EXCHANGE FAMILY RESOURCE CENTER - BELOIT,1221 Henry Ave,Beloit,WI,53511,,(608) 365-8553 (Main),www.cssw.org,CHILDREN'S PLAY GROUPS,Play And Learn,Weekly play and learn group.,"Monday, 8:30am-5:00pm; Tuesday, 8:30am-8:00pm; Wednesday-Friday, 8:30am-5:00pm; Play Group: Wednesday, 9:00am-10:30am; Friday, 9:00am-10:30am.",Thursday 9:00am-10:30am,Call for information,Call for information,Everyone,Youth,Thursday 9:00am-10:30am,
UWDC63312,1,70821,Hygiene,COMMUNITY CLOTHES CLOSET,102 E Lincoln St,Mount Horeb,WI,53572,,(608) 437-6114 (Main),cclothescloset.org,GENERAL CLOTHING,,"Free clothing, including shoes, coats and bedding. Shop during open hours (Each month, 2nd and 4th Saturday & 3rd Thursday) or by appointment.","2nd and 4th Saturday of the month, 10:00am-12:00pm; 3rd Thursday of the month, 5:00pm-7:00pm",2nd and 4th Saturday of the month 10:00am-12:00pm: 3rd Thursday of the month 5:00pm-7:00pm,Walk-in or call for appointment,General public,Everyone,Everyone,Saturday 10:00am-12:00pm; Thursday 5:00pm-7:00pm,"2nd and 4th Saturday of the month3rd Thursday of the month"
UWDC63320,1,70826,Medical,DEFOREST AREA COMMUNITY AND SENIOR CENTER,505 N Main St,DeForest,WI,53532,(608) 846-9469,(608) 846-9469 ext: 226  Natalie Raemisch (Case Managers),www.thecommunitycornerstone.org,ASSISTIVE TECHNOLOGY EQUIPMENT LOAN,Medical Loan Closet,"Medical equipment is available for loan to area residents, including wheelchairs, walkers, commodes, bath benches, toilet risers, reachers, etc. Donations to the Loan Closet are welcome, but due to limited storage space, please call to check on the need for items before delivering them.",,"Call during business hours, Monday-Friday 9:00am-4:00pm",Call a Case Manager to request an item,Adults of any age and their families. Items are available for loan for as long as needed with the exception of wheelchairs which are in high demand.,Everyone,Adults,Monday-Friday 9:00am-4:00pm,Call during business hours
UWDC63320,1,70831,Community,DEFOREST AREA COMMUNITY AND SENIOR CENTER,505 N Main St,DeForest,WI,53532,(608) 846-9469,(608) 846-9469 ext: 229  Sue Miller - smiller@thecommunitycornerstone.org (Coordinator),www.thecommunitycornerstone.org,SENIOR CENTERS,,"The Deforest Area Community & Senior Center strives to meet the multiple needs of older adults in a rural community by proving confidential support services, including outreach, information-referral, case management, congregate meal site, home delivered meals, health programs, volunteer opportunities, and social and educational activities. Limited transportation services are available for certain center-related activities. Adaptive equipment is available. Additional senior programming includes exercise, health screenings, foot care clinics, crafts, sewing, computer lessons, games and cards, and weekly shopping trips. A free monthly newsletter is available at the Center and at various locations throughout the community.",,Monday - Friday 9:00am-4:00pm,Call or walk-in,"DeForest, Windsor and Vienna residents ages 60 years and over",Everyone,Everyone,Monday - Friday 9:00am-4:00pm,
UWDC63320,1,70832,Food,DEFOREST AREA COMMUNITY AND SENIOR CENTER,505 N Main St,DeForest,WI,53532,(608) 846-9469,(608) 846-9469 ext: 228  Jen Mills - jmills@thecommunitycornerstone.org (Nutrition Coordinator),www.thecommunitycornerstone.org,CONGREGATE MEALS/NUTRITION SITES,,"Provides a nutritionally balanced mid-day meal site. Social activities, nutritional information, and education programs often accompany meals. Meals can be delivered to homebound individuals. Individuals eligible for home-delivered meals include those homebound, not able to drive, not able to shop for food, not able to prepare meals or those with certain health concerns. In some situations caregivers of homebound individuals may qualify as well. Meals can be scheduled on a daily basis Monday through Friday, or less frequently based on needs. Transportation to the meal site is available ($1 round trip).",,Meal served Monday-Friday from 11:30am. Meal home delivered Monday-Friday 10:30am-11:30am.,Call for reservation by 12:00pm on the previous day,"DeForest, Windsor and Vienna residents ages 60 years and over",Everyone,Seniors,Monday-Friday 11:30am-2:00pm,"Meals served Monday-Friday from 11:30am. Meals home delivered Monday-Friday, 10:30am-11:30am."
UWDC63320,1,99096,Technology,DEFOREST AREA COMMUNITY AND SENIOR CENTER,505 N Main St,DeForest,WI,53532,(608) 846-9469,(608) 846-9469  Linda Green - lgreen@thecommunitycornerstone.org (Work),www.thecommunitycornerstone.org,COMPREHENSIVE INFORMATION AND REFERRAL,United Way 2-1-1 Plus,"United Way 2-1-1 PLUS is a collaborative effort between United Way 2-1-1 and local organizations with the idea of reaching out to populations that may be most likely to benefit from United Way 2-1-1, but who do not have the means to access it. DeForest Area Community and Senior Center's 2-1-1 PLUS site includes a space with a bit of privacy and a phone to call 2-1-1.",,"Monday-Friday, 9:00am-4:00pm",Walk-in,General public,Everyone,Everyone,Monday-Friday 9:00am-4:00pm,
UWDC63336,1,70847,Medical,FULL COMPASS SYSTEMS,9770 Silicon Prairie Parkway,Verona,WI,53593,(608) 831-7330,(608) 831-7330 (Main),www.fullcompass.com,ASSISTIVE LISTENING DEVICES,,A retail-wholesale business selling audio-video equipment and supplies. Store carries audio loop systems which provide a wireless means of transmitting the speech from a lecturer's microphone directly into the hearing aid of a person with a hearing disability. The resultant reduction in background noise enhances the intelligibility of speech for the person with the hearing aid.,Monday-Friday 9:00am-5:30pm,Monday - Friday 9:00am-5:30pm,Walk-in or call,General public,Everyone,Everyone,Monday - Friday 9:00am-5:30pm,
UWDC63360,1,70880,Medical,"INDEPENDENT LIVING, INC","2970 Chapel Valley Road, Suite 203",Madison,WI,53711,(608) 268-5482,(608) 274-2097  Gwen Seidl - gseidl@independentlivinginc.org,www.independentlivinginc.org,HOME HEALTH AGENCY,Home Health Agency,"Skilled Home Health Agency includes registered nurses, physical therapy, occupational therapy, speech therapy, medical social work, and certified nursing assistants.",Monday-Friday 8:00am-4:30pm,Monday-Friday 8:00am-4:30pm,Call for Intake,Older adults and adults with physical disabilities,Everyone,Adults,Monday-Friday 8:00am-4:30pm,
UWDC63370,2,70905,Food,JEWISH SOCIAL SERVICES OF MADISON,6434 Enterprise Lane,Madison,WI,53719,,(608) 278-1808  Louise Goldstein (Director of Senior Programs),www.jssmadison.org,CONGREGATE MEALS/NUTRITION SITES,Goodman Lechayim Lunchtime Plus Program,"Goodman Lechayim Lunchtime Plus is a Dane County Nutrition Site providing home cooked kosher style meals, educational and entertainment programming, low impact exercise group and optional blood pressure screening once a month following the meal.",Monday - Friday 8:00am - 5:00pm,"September-May on Mondays, 11:30am - 2:00pm.",Call for reservation by 9:00am on the preceding Friday,Seniors and people with disabilities,Everyone,Seniors,,"September-May on Mondays, 11:30am - 2:00pm."
UWDC63410,1,70944,Food,WISCONSIN RESCUE MISSION AND HALFWAY HOUSE,2540 E Mifflin St,Madison,WI,53704,(608) 241-1522,(608) 241-1522,,SOUP KITCHENS,,"CLOSED December 6-April 6, 2016Offers free food buffet during open hours on Thursday-Friday-Saturday. Provides a free sit-down meal on Sunday.",Thursday-Sunday 9:30am-11:30am,"CLOSED December 6-April 6, 2016Thursday-Sunday 9:30am-11:30am",Walk-in,General public,Everyone,Everyone,,"CLOSED December 6, 2015 - April 6, 2016Thursday-Sunday 9:30am-11:30am"
UWDC63410,1,70948,Hygiene,WISCONSIN RESCUE MISSION AND HALFWAY HOUSE,2540 E Mifflin St,Madison,WI,53704,(608) 241-1522,(608) 241-1522,,GENERAL CLOTHING,,"CLOSED December 6-April 6, 2016Distributes (and accepts) free clothing, most of which is men's clothing. Individuals can receive clothing once a week. Also offers shaving items.",Thursday-Sunday 9:30am-11:30am,"CLOSED December 6-April 6, 2016Tuesday-Thursday-Friday-Saturday 11:15am-11:45am",Walk in,General public,Everyone,Everyone,"Tuesday, Thursday, Friday, Saturday 11:15am-11:45am","CLOSED December 6 - April 6, 2016"
UWDC63415,1,70953,Technology,MADISON PUBLIC LIBRARY - CENTRAL LIBRARY,201 W. Mifflin St.,Madison,WI,537033210,(608) 266-5900,(608) 266-6300 - Central Library (Main),www.madisonpubliclibrary.org/central,PUBLIC LIBRARIES,,"Madison Public Library branches lend informational, educational and leisure-time books, videos, CDs, DVDs and magazines for adults and children. All branch libraries provide WiFi and public Internet computers, with word processing and additional software at some branches. Library staff helps with information searches and provides assistance to readers, viewers and listeners. Branches host story times and programs for babies, toddlers, pre-school and school-aged children. Summer reading incentive programs are popular with pre-school and school-age children and teens. Adult programs include book discussion groups and a variety of informational and cultural presentations. Central Library also offers computer classes on Saturday mornings.",Monday-Thursday 9:00am-9:00pm; Friday 9:00am-6:00pm; Saturday 9:00am-5:00pm; Sunday (October-April) 1:00pm-5:00pm,Monday-Thursday 9:00am-9:00pm: Friday 9:00am-6:00pm: Saturday 9:00am-5:00pm: Sunday (October-April) 1:00pm-5:00pm,"Library card required to borrow materials. Obtain a card at any Madison Public Library location. To apply, fill out an application, showing ID and proof of current residence. Internet access is available with ID, without proof of address.",General public,Everyone,Everyone,Monday-Thursday 9:00am-9:00pm; Friday 9:00am-6:00pm; Saturday 9:00am-5:00pm; Sunday 1:00pm-5:00pm,Sunday (October-April) 1:00pm-5:00pm
UWDC63415,1,70961,Technology,MADISON PUBLIC LIBRARY - CENTRAL LIBRARY,201 W. Mifflin St.,Madison,WI,537033210,(608) 266-5900,(608) 266-6350 (Main),www.madisonpubliclibrary.org/central,LIBRARY AUDIOVISUAL SERVICES,,Madison Public Library assists with the National Talking Book Program which provides books-magazines on cassette or compact disc to those unable to read. Magnifiers and other equipment to assist visually impaired to read are also available for loan.,Monday-Thursday 9:00am-9:00pm; Friday 9:00am-6:00pm; Saturday 9:00am-5:00pm; Sunday (October-April) 1:00pm-5:00pm,Monday-Thursday 9:00am-9:00pm: Friday 9:00am-6:00pm: Saturday 9:00am-5:00pm: Sunday (October-April) 1:00pm-5:00pm,Complete an application,Low vision individuals or those unable to physicallly use books or magazines.,Everyone,Everyone,Monday-Thursday 9:00am-9:00pm; Friday 9:00am-6:00pm; Saturday 9:00am-5:00pm; Sunday 1:00pm-5:00pm,Sunday (October-April) 1:00pm-5:00pm
UWDC63415,2,70960,Technology,MADISON PUBLIC LIBRARY - MONROE STREET BRANCH,1705 Monroe St,Madison,WI,53711,,(608) 266-6390,www.madisonpubliclibrary.org,PUBLIC LIBRARIES,,"Madison Public Library branches lend informational, educational and leisure-time books, videos, CDs, DVDs and magazines for adults and children. All branch libraries provide WiFi and public Internet computers, with word processing and additional software at some branches. Library staff helps with information searches and provides assistance to readers, viewers and listeners. Branches host story times and programs for babies, toddlers, pre-school and school-aged children. Summer reading incentive programs are popular with pre-school and school-age children and teens. Adult programs include book discussion groups and a variety of informational and cultural presentations.",Monday-Wednesday-Friday 1:00pm-9:00pm; Tuesday 10:00am-6:00pm; Thursday 12:00pm-6:00pm; Saturday 9:30am-5:00pm,Monday-Wednesday-Friday 1:00pm-9:00pm: Tuesday 10:00am-6:00pm: Thursday 12:00pm-6:00pm: Saturday 9:30am-5:00pm,"Library card required to borrow materials. Obtain a card at any Madison Public Library location. To apply, fill out an application, showing ID and proof of current residence. Internet access is available with ID, without proof of address.",General public,Everyone,Everyone,"Monday,Wednesday,Friday 1:00pm-9:00pm; Tuesday 10:00am-6:00pm; Thursday 12:00pm-6:00pm; Saturday 9:30am-5:00pm",
UWDC63415,4,70959,Technology,MADISON PUBLIC LIBRARY - GOODMAN SOUTH MADISON BRANCH,2222 S Park St,Madison,WI,53713,,(608) 266-6395,www.madisonpubliclibrary.org,PUBLIC LIBRARIES,,"Madison Public Library branches lend informational, educational and leisure-time books, videos, CDs, DVDs and magazines for adults and children. All branch libraries provide WiFi and public Internet computers, with word processing and additional software at some branches. Library staff helps with information searches and provides assistance to readers, viewers and listeners. Branches host story times and programs for babies, toddlers, pre-school and school-aged children. Summer reading incentive programs are popular with pre-school and school-age children and teens. Adult programs include book discussion groups and a variety of informational and cultural presentations. South Madison Branch also offers group computer classes.",Monday-Friday 9:00am-9:00pm; Saturday 9:00am-5:00pm,Monday-Friday 10:00am-8:00pm: Saturday 9:00am-5:00pm,"Library card required to borrow materials. Obtain a card at any Madison Public Library location. To apply, fill out an application, showing ID and proof of current residence. Internet access is available with ID, without proof of address.",General public,Everyone,Everyone,Monday-Friday 10:00am-8:00pm; Saturday 9:00am-5:00pm,
UWDC63415,5,70958,Technology,MADISON PUBLIC LIBRARY - HAWTHORNE BRANCH,2707 E Washington Ave,Madison,WI,53704,,(608) 246-4548,www.madisonpubliclibrary.org,PUBLIC LIBRARIES,,"Madison Public Library branches lend informational, educational and leisure-time books, videos, CDs, DVDs and magazines for adults and children. All branch libraries provide WiFi and public Internet computers, with word processing and additional software at some branches. Library staff helps with information searches and provides assistance to readers, viewers and listeners. Branches host story times and programs for babies, toddlers, pre-school and school-aged children. Summer reading incentive programs are popular with pre-school and school-age children and teens. Adult programs include book discussion groups and a variety of informational and cultural presentations. Branch also offers group computer classes.",Monday-Friday 10:00am-8:00pm; Saturday 9:00am-5:00pm,Monday-Friday 10:00am-8:00pm: Saturday 9:00am-5:00pm,"Library card required to borrow materials. Obtain a card at any Madison Public Library location. To apply, fill out an application, showing ID and proof of current residence. Internet access is available with ID, without proof of address.",General public,Everyone,Everyone,Monday-Friday 10:00am-8:00pm; Saturday 9:00am-5:00pm,
UWDC63415,6,70957,Technology,MADISON PUBLIC LIBRARY - LAKEVIEW BRANCH,2845 N Sherman Ave,Madison,WI,53704,,(608) 246-4547,www.madisonpubliclibrary.org,PUBLIC LIBRARIES,,"Madison Public Library branches lend informational, educational and leisure-time books, videos, CDs, DVDs and magazines for adults and children. All branch libraries provide WiFi and public Internet computers, with word processing and additional software at some branches. Library staff helps with information searches and provides assistance to readers, viewers and listeners. Branches host story times and programs for babies, toddlers, pre-school and school-aged children. Summer reading incentive programs are popular with pre-school and school-age children and teens. Adult programs include book discussion groups and a variety of informational and cultural presentations. Lakeview Branch also offers group computer classes.",Monday-Friday 10:00am-8:00pm; Saturday 10:00am-5:00pm,Monday-Friday 10:00am-8:00pm: Saturday 9:00am-5:00pm,"Library card required to borrow materials. Obtain a card at any Madison Public Library location. To apply, fill out an application, showing ID and proof of current residence. Internet access is available with ID, without proof of address.",General public,Everyone,Everyone,Monday-Friday 10:00am-8:00pm; Saturday 9:00am-5:00pm,
UWDC63415,7,70956,Technology,MADISON PUBLIC LIBRARY - SEQUOYA BRANCH,4340 Tokay Blvd,Madison,WI,53711,,(608) 266-6385,www.madisonpubliclibrary.org,PUBLIC LIBRARIES,,"Madison Public Library branches lend informational, educational and leisure-time books, videos, CDs, DVDs and magazines for adults and children. All branch libraries provide WiFi and public Internet computers, with word processing and additional software at some branches. Library staff helps with information searches and provides assistance to readers, viewers and listeners. Branches host story times and programs for babies, toddlers, pre-school and school-aged children. Summer reading incentive programs are popular with pre-school and school-age children and teens. Adult programs include book discussion groups and a variety of informational and cultural presentations.",Monday-Thursday 9:00am-9:00pm; Saturday 9:00am-5:00pm; Sunday (October-April) 1:00pm-5:00pm,Monday-Friday 9:00am-9:00pm: Saturday 9:00am-5:00pm,"Library card required to borrow materials. Obtain a card at any Madison Public Library location. To apply, fill out an application, showing ID and proof of current residence. Internet access is available with ID, without proof of address.",General public,Everyone,Everyone,Monday-Friday 9:00am-8:00pm; Saturday 9:00am-5:00pm,
UWDC63415,8,70955,Technology,MADISON PUBLIC LIBRARY - MEDOWRIDGE BRANCH,5740 Raymond Rd,Madison,WI,53711,,(608) 288-6160,www.madisonpubliclibrary.org,PUBLIC LIBRARIES,,"Madison Public Library branches lend informational, educational and leisure-time books, videos, CDs, DVDs and magazines for adults and children. All branch libraries provide WiFi and public Internet computers, with word processing and additional software at some branches. Library staff helps with information searches and provides assistance to readers, viewers and listeners. Branches host story times and programs for babies, toddlers, pre-school and school-aged children. Summer reading incentive programs are popular with pre-school and school-age children and teens. Adult programs include book discussion groups and a variety of informational and cultural presentations.",Monday-Friday 10:00am-8:00pm; Saturday 9:00am-5:00pm,Monday-Friday 10:00am-8:00pm: Saturday 9:00am-5:00pm,"Library card required to borrow materials. Obtain a card at any Madison Public Library location. To apply, fill out an application, showing ID and proof of current residence. Internet access is available with ID, without proof of address.",General public,Everyone,Everyone,Monday-Friday 10:00am-8:00pm; Saturday 9:00am-5:00pm,
UWDC63415,9,70954,Technology,MADISON PUBLIC LIBRARY - ALICIA ASHMAN BRANCH,733 N High Point Rd,Madison,WI,53717,,(608) 824-1780,www.madisonpubliclibrary.org,PUBLIC LIBRARIES,,"Madison Public Library branches lend informational, educational and leisure-time books, videos, CDs, DVDs and magazines for adults and children. All branch libraries provide WiFi and public Internet computers, with word processing and additional software at some branches. Library staff helps with information searches and provides assistance to readers, viewers and listeners. Branches host story times and programs for babies, toddlers, pre-school and school-aged children. Summer reading incentive programs are popular with pre-school and school-age children and teens. Adult programs include book discussion groups and a variety of informational and cultural presentations.",Monday-Friday 9:00am-9:00pm; Saturday 9:00am-5:00pm,Monday-Friday 9:00am-9:00pm: Saturday 9:00am-5:00pm,"Library card required to borrow materials. Obtain a card at any Madison Public Library location. To apply, fill out an application, showing ID and proof of current residence. Internet access is available with ID, without proof of address.",General public,Everyone,Everyone,Monday-Friday 9:00am-9:00pm; Saturday 9:00am-5:00pm,
UWDC63425,10,70967,Technology,MADISON SCHOOL AND COMMUNITY RECREATION,5734 Raymond Rd,Madison,WI,53711,,(608) 467-8918,,COMPUTER LABS,,"Free drop-in computer lab with public internet access and computer classes.Neighborhood - community center: has a computer lab. Offers youth recreation and education programs, and variety of adult recreation-enrichment opportunities. Will have food bank Summer 2015.",Monday 9:00am-6:00pm; Tuesday 9:00am-8:00pm; Wednesday-Friday 9:00am-6:00pm,"Open lab except during classes: Monday 9:00am-1:00pm, Tuesday 9:00am-2:30pm, Wednesday-Thursday 12:00pm-2:30pm, Friday 9:00am-2:30pm: class times vary",Walk-in or call for availability of open lab and classes,General public,Everyone,Everyone,,"Open lab except during classes: Monday 9:00am-1:00pm, Tuesday 9:00am-2:30pm, Wednesday-Thursday 12:00pm-2:30pm, Friday 9:00am-2:30pm: class times vary"
UWDC63425,10,70970,Community,MADISON SCHOOL AND COMMUNITY RECREATION,5734 Raymond Rd,Madison,WI,53711,,(608) 467-8918,,NEIGHBORHOOD MULTIPURPOSE CENTERS,Meadowood Neighborhood Center,"Neighborhood - community center: has a computer lab. Offers youth recreation and education programs, and variety of adult recreation-enrichment opportunities. Will have food bank Summer 2015.",Monday 9:00am-6:00pm; Tuesday 9:00am-8:00pm; Wednesday-Friday 9:00am-6:00pm,Monday-Friday 9:00am-8:00pm,Call for info,General public,Everyone,Everyone,Monday-Friday 9:00am-8:00pm,
UWDC63425,10,98883,Technology,MADISON SCHOOL AND COMMUNITY RECREATION,5734 Raymond Rd,Madison,WI,53711,,(608) 476-8360  Joe Schlesing - jschlesing@madison.k12.wi.us (Office),,COMPREHENSIVE INFORMATION AND REFERRAL,United Way 2-1-1 Plus,"United Way 2-1-1 PLUS is a collaborative effort between United Way 2-1-1 and local organizations with the idea of reaching out to populations that may be most likely to benefit from United Way 2-1-1, but who do not have the means to access it. Meadowood Neighborhood Center's 2-1-1 PLUS site includes a space with a bit of privacy, a phone to call 2-1-1, and a computer with internet access to use the 2-1-1 online database.",Monday 9:00am-6:00pm; Tuesday 9:00am-8:00pm; Wednesday-Friday 9:00am-6:00pm,"Monday-Friday, 9:00am-6:00pm",Walk-in,General public,Everyone,Everyone,"Monday-Friday, 9:00am-6:00pm",
UWDC63425,11,70971,Community,MADISON SCHOOL AND COMMUNITY RECREATION,510 S Thornton Ave,Madison,WI,53703,,(608) 204-6863 (Main),www.mscr.org,YOUTH CENTERS,,"Provides afterschool drop-in academic, enrichment and recreational programs for up to 50 middle school students at nine Madison Middle Schools.","Varies. Generally 8am-5:30pm, Mon-Friday",Monday-Friday 3:00pm-5:30pm,Call for info,Middle school students,Everyone,Youth,Monday-Friday 3:00pm-5:30pm,
UWDC63425,12,70971,Community,MADISON SCHOOL AND COMMUNITY RECREATION,101 S Gammon Rd,Madison,WI,53717,,(608) 663-6427 (Main),,YOUTH CENTERS,,"Provides afterschool drop-in academic, enrichment and recreational programs for up to 50 middle school students at nine Madison Middle Schools.",,Monday-Friday 3:00pm-5:30pm,Call for info,Middle school students,Everyone,Youth,Monday-Friday 3:00pm-5:30pm,
UWDC63425,2,70971,Community,MADISON SCHOOL & COMMUNITY RECREATION,1402 Wyoming Way,Madison,WI,53704,,(608) 204-4376  Amy Vandenhuevel,,YOUTH CENTERS,,"Provides afterschool drop-in academic, enrichment and recreational programs for up to 50 middle school students at nine Madison Middle Schools.",Monday-Friday 3:00pm-5:30pm,Monday-Friday 3:00pm-5:30pm,Call for info,Middle school students,Everyone,Youth,Monday-Friday 3:00pm-5:30pm,
UWDC63425,3,70971,Community,MADISON SCHOOL AND COMMUNITY RECREATION,1610 Ruskin St,Madison,WI,53704,,(608) 204-2132 (Main),,YOUTH CENTERS,,"Provides afterschool drop-in academic, enrichment and recreational programs for up to 50 middle school students at nine Madison Middle Schools.",Monday-Friday 3:00pm-5:30pm,Monday-Friday 3:00pm-5:30pm,Call for info,Middle school students,Everyone,Youth,Monday-Friday 3:00pm-5:30pm,
UWDC63425,4,70971,Community,MADISON SCHOOL AND COMMUNITY RECREATION,1717 Fish Hatchery Rd,Madison,WI,53713,,(608) 204-1369 (Main),www.mscr.org,YOUTH CENTERS,,"Provides afterschool drop-in academic, enrichment and recreational programs for up to 50 middle school students at nine Madison Middle Schools.",Monday-Friday 3:00pm-5:30pm,Monday-Friday 3:00pm-5:30pm,Call for info,Middle school students,Everyone,Youth,Monday-Friday 3:00pm-5:30pm,
UWDC63425,5,70971,Community,MADISON SCHOOL AND COMMUNITY RECREATION,230 Schenk St,Madison,WI,53714,,(608) 204-4506 (Main),,YOUTH CENTERS,,"Provides afterschool drop-in academic, enrichment and recreational programs for up to 50 middle school students at nine Madison Middle Schools.",Monday-Friday 3:00pm-5:30pm,Monday-Friday 3:00pm-5:30pm,Call for info,Middle school students,Everyone,Youth,Monday-Friday 3:00pm-5:30pm,
UWDC63425,6,70971,Community,MADISON SCHOOL AND COMMUNITY RECREATION,4301 Cherokee Dr,Madison,WI,53711,,(608) 204-1273 (Main),www.mscr.org,YOUTH CENTERS,,"Provides afterschool drop-in academic, enrichment and recreational programs for up to 50 middle school students at nine Madison Middle Schools.",Monday-Friday 3:00pm-5:30pm,Monday-Friday 3:00pm-5:30pm,Call for info,Middle school students,Everyone,Youth,Monday-Friday 3:00pm-5:30pm,
